지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
133,2018-03-01 00:01,2.9,0,303.4,3.1,993.6,1002.1,97.9,0,0
133,2018-03-01 00:02,2.9,0,313.5,2.7,993.6,1002.1,97.9,0,0
133,2018-03-01 00:03,3,0,302.8,2.7,993.5,1002,97.9,0,0
133,2018-03-01 00:04,3,0,293.2,2,993.5,1002,97.9,0,0
133,2018-03-01 00:05,3,0,305.3,2.1,993.5,1002,97.9,0,0
133,2018-03-01 00:06,3,0,313.4,2.6,993.5,1002,97.9,0,0
133,2018-03-01 00:07,3,0,312.9,1.8,993.6,1002.1,97.9,0,0
133,2018-03-01 00:08,3.1,0,317.4,2.7,993.6,1002.1,97.9,0,0
133,2018-03-01 00:09,3.1,0,318.2,2.2,993.6,1002.1,97.9,0,0
133,2018-03-01 00:10,3.1,0,315.4,1.7,993.6,1002.1,97.9,0,0
133,2018-03-01 00:11,3.1,0,320.3,1.6,993.6,1002.1,97.9,0,0
133,2018-03-01 00:12,3.1,0,328.9,1.3,993.6,1002.1,97.9,0,0
133,2018-03-01 00:13,3.1,0,302.9,1,993.6,1002.1,97.9,0,0
133,2018-03-01 00:14,3.1,0,291.4,1.4,993.6,1002.1,97.9,0,0
133,2018-03-01 00:15,3.1,0,297.2,1.1,993.6,1002.1,97.9,0,0
133,2018-03-01 00:16,3.1,0,303.8,1.2,993.7,1002.2,97.9,0,0
133,2018-03-01 00:17,3,0,308.8,1.4,993.7,1002.2,97.9,0,0
133,2018-03-01 00:18,3,0,316.7,1.5,993.8,1002.3,97.9,0,0
133,2018-03-01 00:19,3,0,309.9,1.4,993.9,1002.4,97.9,0,0
133,2018-03-01 00:20,3,0,305.4,1.4,993.9,1002.4,97.9,0,0
133,2018-03-01 00:21,3,0,300.8,1.4,993.9,1002.4,97.9,0,0
133,2018-03-01 00:22,3,0,292.6,1.5,993.9,1002.4,97.9,0,0
133,2018-03-01 00:23,3,0,278.9,1.7,993.9,1002.4,97.9,0,0
133,2018-03-01 00:24,3,0,276.7,1.7,993.9,1002.4,97.9,0,0
133,2018-03-01 00:25,3,0,286.1,1.8,994,1002.5,97.9,0,0
133,2018-03-01 00:26,3,0,280.1,1.8,994,1002.5,97.9,0,0
133,2018-03-01 00:27,3,0,268.3,1.4,994,1002.5,97.9,0,0
133,2018-03-01 00:28,3.1,0,295.1,2,994.1,1002.6,97.9,0,0
133,2018-03-01 00:29,3.1,0,288.7,2.4,994.1,1002.6,97.9,0,0
133,2018-03-01 00:30,3.2,0,283,2.1,994.2,1002.7,97.9,0,0
133,2018-03-01 00:31,3.2,0,278.6,1,994.2,1002.7,97.9,0,0
133,2018-03-01 00:32,3.3,0,291.9,2,994.2,1002.7,97.9,0,0
133,2018-03-01 00:33,3.3,0,279.8,1.3,994.2,1002.7,97.9,0,0
133,2018-03-01 00:34,3.3,0,280.4,1.4,994.2,1002.7,97.9,0,0
133,2018-03-01 00:35,3.3,0,287.8,1.2,994.3,1002.8,97.9,0,0
133,2018-03-01 00:36,3.3,0,277.6,1.6,994.3,1002.8,97.9,0,0
133,2018-03-01 00:37,3.4,0,303.6,1.2,994.3,1002.8,97.9,0,0
133,2018-03-01 00:38,3.4,0,325.7,.7,994.3,1002.8,97.9,0,0
133,2018-03-01 00:39,3.4,0,298.7,1,994.3,1002.8,97.9,0,0
133,2018-03-01 00:40,3.4,0,276.7,1.9,994.3,1002.8,97.9,0,0
133,2018-03-01 00:41,3.5,0,280.6,1.1,994.3,1002.8,97.9,0,0
133,2018-03-01 00:42,3.5,0,315.2,1,994.3,1002.8,97.9,0,0
133,2018-03-01 00:43,3.5,0,305.5,1.5,994.3,1002.8,97.9,0,0
133,2018-03-01 00:44,3.5,0,282.2,2.4,994.3,1002.8,97.9,0,0
133,2018-03-01 00:45,3.5,0,275.2,2,994.3,1002.8,97.9,0,0
133,2018-03-01 00:46,3.5,0,284.7,1.2,994.3,1002.8,97.9,0,0
133,2018-03-01 00:47,3.6,0,295.9,1.6,994.4,1002.8,97.9,0,0
133,2018-03-01 00:48,3.6,0,287.3,1.3,994.4,1002.8,97.9,0,0
133,2018-03-01 00:49,3.6,0,282.5,1.5,994.4,1002.8,97.9,0,0
133,2018-03-01 00:50,3.6,0,270,1.4,994.4,1002.8,97.9,0,0
133,2018-03-01 00:51,3.6,0,281.5,1.4,994.5,1002.9,97.9,0,0
133,2018-03-01 00:52,3.6,0,266.8,1.8,994.5,1002.9,97.8,0,0
133,2018-03-01 00:53,3.6,0,289.4,1.4,994.5,1002.9,97.8,0,0
133,2018-03-01 00:54,3.6,0,276.2,2.4,994.5,1002.9,97.7,0,0
133,2018-03-01 00:55,3.7,0,297.7,2.2,994.6,1003,97.7,0,0
133,2018-03-01 00:56,3.8,0,280.9,1.6,994.6,1003,97.7,0,0
